recipe_id,recipe_name,ingredients,calorie,protein,fat,carbohydrate,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b6,vitamin_b12,niacin,folic_acid,vitamin_c,biotin,total_choline,sodium,potassium,magnesium,iron,zinc,calcium,phosphorus,selenium,iodine,copper,manganese
8456,茼蒿拌豆腐,"豆腐：50g茼蒿：100g豆油：5g精盐：0.5g芝麻油：1g, 豆腐：50g, 茼蒿：100g, 豆油：5g, 精盐：0.5g, 芝麻油：1g",136 kcal,6.50 g,10.35 g,5.40 g,126.00 μg RAE,,10.46 mg α-TE,,0.07 mg,0.10 mg,0.02 mg,,0.66 mg,134.20 μg,18.00 mg,3.60 μg,13.25 mg,361.77 mg,273.22 mg,51.69 mg,3.38 mg,0.77 mg,126.35 mg,92.39 mg,1.84 μg,7.65 μg,0.10 mg,0.35 mg
8457,猪肉丸子,"猪肉：60g豆油：5g精盐：0.5g鸡精：0.5g白砂糖：1g酱油：1g黄酒：2g姜：2g大葱：3g, 猪肉：60g, 豆油：5g, 精盐：0.5g, 鸡精：0.5g, 白砂糖：1g, 酱油：1g, 黄酒：2g, 姜：2g, 大葱：3g",252 kcal,9.26 g,23.09 g,1.50 g,9.15 μg RAE,0.00 μg,5.05 mg α-TE,0.00 μg,0.18 mg,0.08 mg,0.00 mg,0.00 μg,2.52 mg,7.08 μg,0.13 mg,2.66 μg,,383.19 mg,141.90 mg,12.62 mg,1.05 mg,1.15 mg,8.15 mg,76.79 mg,4.79 μg,0.24 μg,0.08 mg,0.14 mg
8458,美味猪肉饺子,"小麦面粉：50g猪肉：30g虾米：5g甜椒：30g精盐：2g黄酱：5g鸡精：2g五香粉：1g花生油：5g饮用水：35g, 小麦面粉：50g, 猪肉：30g, 虾米：5g, 甜椒：30g, 精盐：2g, 黄酱：5g, 鸡精：2g, 五香粉：1g, 花生油：5g, 饮用水：35g",355 kcal,15.70 g,15.67 g,39.04 g,8.00 μg RAE,0.00 μg,3.46 mg α-TE,0.00 μg,0.33 mg,0.10 mg,0.08 mg,0.00 μg,2.71 mg,20.59 μg,39.00 mg,5.49 μg,20.90 mg,1608.90 mg,227.47 mg,45.41 mg,2.12 mg,0.95 mg,53.31 mg,163.83 mg,10.68 μg,22.30 μg,0.23 mg,0.19 mg
8459,猪肉茴香饺子,"小麦面粉(标准粉)：50g茴香（鲜）[小茴香]：100g猪肉（代表值，fat30g）：30g, 小麦面粉(标准粉)：50g, 茴香（鲜）[小茴香]：100g, 猪肉（代表值，fat30g）：30g",307 kcal,14.88 g,10.68 g,39.65 g,205.50 μg RAE,,1.30 mg α-TE,,0.38 mg,0.16 mg,0.04 mg,0.00 μg,2.99 mg,135.82 μg,26.00 mg,5.12 μg,20.90 mg,204.89 mg,309.40 mg,75.80 mg,1.89 mg,1.36 mg,171.30 mg,142.80 mg,6.85 μg,13.15 μg,0.11 mg,0.37 mg
8460,大葱猪肉馅饼,"小麦面粉(标准粉)：50g猪肉（代表值，fat30g）：15g大葱：50g, 小麦面粉(标准粉)：50g, 猪肉（代表值，fat30g）：15g, 大葱：50g",245 kcal,10.92 g,5.92 g,38.35 g,4.75 μg RAE,,0.26 mg α-TE,,0.31 mg,0.07 mg,0.12 mg,0.00 μg,1.82 mg,20.09 μg,1.50 mg,4.86 μg,20.90 mg,14.52 mg,182.70 mg,35.40 mg,0.80 mg,0.52 mg,47.90 mg,114.15 mg,5.01 μg,0.75 μg,0.07 mg,0.22 mg
8461,冬瓜排骨汤,"猪大排：45g冬瓜：50g饮用水：200g枸杞子：15g扇贝肉：8g盐：2g鸡精：2g, 猪大排：45g, 冬瓜：50g, 饮用水：200g, 枸杞子：15g, 扇贝肉：8g, 盐：2g, 鸡精：2g",177 kcal,11.58 g,9.62 g,12.44 g,249.15 μg RAE,0.00 μg,1.23 mg α-TE,0.00 μg,0.41 mg,0.15 mg,0.01 mg,0.00 μg,3.13 mg,7.08 μg,15.20 mg,2.54 μg,,1258.08 mg,232.70 mg,32.25 mg,1.84 mg,2.07 mg,40.56 mg,104.98 mg,8.31 μg,1.38 μg,0.25 mg,0.23 mg
8462,养生玉米排骨汤,"玉米：40g猪大排：30g饮用水：200g红枣：15g枸杞子：10g人参：3g香菜：2g盐：2g鸡精：1g姜：5g, 玉米：40g, 猪大排：30g, 饮用水：200g, 红枣：15g, 枸杞子：10g, 人参：3g, 香菜：2g, 盐：2g, 鸡精：1g, 姜：5g",222 kcal,9.90 g,7.17 g,32.11 g,168.19 μg RAE,0.00 μg,0.83 mg α-TE,0.00 μg,0.35 mg,0.17 mg,0.00 mg,0.00 μg,2.98 mg,13.08 μg,14.26 mg,1.79 μg,,1025.05 mg,334.55 mg,38.77 mg,6.33 mg,1.40 mg,43.18 mg,122.49 mg,5.43 μg,0.94 μg,0.29 mg,0.91 mg
8463,番茄排骨汤,"猪大排：45g番茄：50g饮用水：150g番茄酱：20g盐：2g料酒：10g姜：5g, 猪大排：45g, 番茄：50g, 饮用水：150g, 番茄酱：20g, 盐：2g, 料酒：10g, 姜：5g",165 kcal,10.29 g,9.61 g,9.00 g,20.90 μg RAE,0.00 μg,1.15 mg α-TE,0.00 μg,0.38 mg,0.11 mg,0.03 mg,0.00 μg,3.81 mg,6.53 μg,7.00 mg,3.58 μg,3.35 mg,825.69 mg,418.53 mg,24.09 mg,5.01 mg,1.20 mg,26.34 mg,94.85 mg,4.97 μg,105.75 μg,0.20 mg,0.68 mg
8464,排骨烧芋头,"猪大排：90g芋头：20g精盐：0.5g鸡精：0.5g酱油：1g绵白糖：1g大蒜：2g姜：2g大葱：3g, 猪大排：90g, 芋头：20g, 精盐：0.5g, 鸡精：0.5g, 酱油：1g, 绵白糖：1g, 大蒜：2g, 姜：2g, 大葱：3g",259 kcal,16.99 g,18.43 g,6.11 g,11.21 μg RAE,,0.12 mg α-TE,,0.73 mg,0.14 mg,0.02 mg,0.00 μg,4.89 mg,6.66 μg,0.57 mg,5.44 μg,,390.32 mg,268.04 mg,22.08 mg,0.95 mg,1.63 mg,13.12 mg,128.21 mg,9.55 μg,0.24 μg,0.12 mg,0.21 mg
8465,猪排骨焖土豆,"猪大排：45g马铃薯：100g豆油：5g精盐：0.5g鸡精：0.5g酱油：1g黄酒：2g白砂糖：1g甜面酱：1g豆油：5g, 猪大排：45g, 马铃薯：100g, 豆油：5g, 精盐：0.5g, 鸡精：0.5g, 酱油：1g, 黄酒：2g, 白砂糖：1g, 甜面酱：1g, 豆油：5g",298 kcal,11.04 g,19.40 g,20.12 g,6.45 μg RAE,0.00 μg,9.71 mg α-TE,0.00 μg,0.46 mg,0.09 mg,0.27 mg,0.00 μg,3.54 mg,17.92 μg,14.00 mg,6.63 μg,,395.95 mg,476.94 mg,34.12 mg,1.13 mg,1.20 mg,14.02 mg,106.58 mg,5.21 μg,1.45 μg,0.16 mg,0.19 mg
8466,芹菜炒猪排,"芹菜：100g猪大排：45g豆油：5g精盐：0.5g白砂糖：1g大蒜：2g, 芹菜：100g, 猪大排：45g, 豆油：5g, 精盐：0.5g, 白砂糖：1g, 大蒜：2g",184 kcal,8.73 g,14.38 g,5.42 g,7.46 μg RAE,,4.72 mg α-TE,,0.37 mg,0.09 mg,0.06 mg,0.00 μg,2.62 mg,30.76 μg,2.14 mg,3.53 μg,,383.63 mg,257.61 mg,24.26 mg,0.70 mg,0.98 mg,20.34 mg,72.02 mg,4.78 μg,,0.09 mg,0.09 mg
8467,鲜玉米炖猪排,"玉米：100g猪大排：45g豆油：5g老抽：1g蚝油：1g黄酒：2g生抽：1g白砂糖：1g, 玉米：100g, 猪大排：45g, 豆油：5g, 老抽：1g, 蚝油：1g, 黄酒：2g, 生抽：1g, 白砂糖：1g",283 kcal,12.43 g,15.38 g,24.96 g,5.40 μg RAE,0.00 μg,5.16 mg α-TE,0.00 μg,0.52 mg,0.18 mg,0.00 mg,0.00 μg,4.23 mg,2.74 μg,16.00 mg,2.50 μg,,198.09 mg,369.98 mg,40.86 mg,1.67 mg,1.74 mg,5.70 mg,176.44 mg,6.31 μg,0.04 μg,0.15 mg,0.28 mg
8468,玉米白萝卜炖猪骨,"玉米：40g白萝卜：40g猪大排：30g饮用水：200g精盐：0.5g, 玉米：40g, 白萝卜：40g, 猪大排：30g, 饮用水：200g, 精盐：0.5g",130 kcal,7.37 g,6.64 g,11.23 g,3.60 μg RAE,0.00 μg,0.21 mg α-TE,0.00 μg,0.31 mg,0.09 mg,0.02 mg,0.00 μg,2.37 mg,12.24 μg,14.00 mg,1.94 μg,,240.27 mg,248.27 mg,24.71 mg,0.77 mg,1.02 mg,31.31 mg,90.70 mg,3.80 μg,0.56 μg,0.08 mg,0.13 mg
